Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9VHK8	Q9W1H5	AQZ	DCP1	CG9821|DMEL_CG9821	CG11183|DMEL_CG11183	FBGN0286516	FBGN0034921	14605208:0398:HT|14605208:0018:HT
Q9VHK9	Q9VJI7	DMEL\CG9837	LSM7	CG9837|DMEL_CG9837	CG13277|DMEL_CG13277	FBGN0037635	FBGN0261068	14605208:0398:HT|14605208:0018:HT
Q9VHK9	Q9VPT9	DMEL\CG9837	DMEL\CG3662	CG9837|DMEL_CG9837	CG3662|DMEL_CG3662	FBGN0037635	FBGN0031285	14605208:0398:HT|14605208:0018:HT
Q9VHK9	Q9W465	DMEL\CG9837	DMEL\CG15764	CG9837|DMEL_CG9837	CG15764|DMEL_CG15764	FBGN0037635	FBGN0029817	14605208:0398:HT|14605208:0018:HT
Q9VHL0	Q9VJQ6	HNG2	DCTN5-P25	CG8359|DMEL_CG8359	CG10846|DMEL_CG10846	FBGN0037634	FBGN0040228	14605208:0398:HT|14605208:0018:HT
Q9VHL0	Q9VR04	HNG2	DMEL\CG15443	CG8359|DMEL_CG8359	CG15443|DMEL_CG15443	FBGN0037634	FBGN0031609	14605208:0398:HT|14605208:0018:HT
Q9VHL0	Q9VSP8	HNG2	DMEL\CG6576	CG8359|DMEL_CG8359	CG6576|DMEL_CG6576	FBGN0037634	FBGN0035924	14605208:0398:HT|14605208:0018:HT
Q9VHL0	Q9VTT1	HNG2	DMEL\CG17154	CG8359|DMEL_CG8359	CG17154|DMEL_CG17154	FBGN0037634	FBGN0036246	14605208:0398:HT|14605208:0018:HT
Q9VHL0	Q9W0B3	HNG2	VTA1	CG8359|DMEL_CG8359	CG7967|DMEL_CG7967	FBGN0037634	FBGN0035251	14605208:0398:HT|14605208:0018:HT
Q9VHL1	Q9VTP8	DMEL\CG9839	DMEL\CG12521	CG9839|DMEL_CG9839	CG12521|DMEL_CG12521	FBGN0037633	FBGN0040816	14605208:0398:HT|14605208:0018:HT
Q9VHL2	Q9VPS5	CCT7	HSP60B	CG8351|DMEL_CG8351	CG2830	FBGN0037632	FBGN0011244	14605208:0398:HT|14605208:0018:HT
Q9VHL2	Q9VS38	CCT7	MED4	CG8351|DMEL_CG8351	CG8609	FBGN0037632	FBGN0035754	14605208:0398:HT|14605208:0018:HT
